order_id,restaurant_name,online_order,book_table,rate,votes,restaurant_location,rest_type,dish_like,cuisines,approx_cost,type_of_service,city
327,Carnival de Goa,Yes,No,3.6/5,206,Cunningham Road,Quick Bites,"Burgers, Crispy Chicken, Chicken Zinger Burger, French Fries, Chicken Fries, Hot Wings","Burger, Fast Food",400,Delivery,Brigade Road
328,Northern Route,Yes,No,3.9/5,370,MG Road,"Sweet Shop, Quick Bites","Rasgulla, Luchi, Samosa, Radhaballavi, Rasmalai, Kheer Kadam, Chamcham","Mithai, Street Food",200,Delivery,Brigade Road
329,Dakshin Biryani & Tiffin,Yes,No,3.8/5,97,Vasanth Nagar,Delivery,Pizza,Pizza,750,Delivery,Brigade Road
330,Chocolate D'Luxe,Yes,No,2.7/5,67,Old Madras Road,Quick Bites,"Rolls, Chicken Grill","Arabian, Mughlai, Chinese, Kebab, Fast Food",400,Delivery,Brigade Road
331,Mangalore pearl - Seafood Restaurant,Yes,No,4.0/5,624,Race Course Road,"Dessert Parlor, Quick Bites","Tawa Pulav, Faluda, Pav Bhaji, Ice Cream Sundae, Brownie, Hot Chocolate Fudge, Fruit Salad","Desserts, Beverages, Fast Food, Ice Cream",450,Delivery,Brigade Road
332,20 Feet High,Yes,Yes,3.8/5,194,St. Marks Road,Casual Dining,"Fish, Thali, Egg Roast, Buttermilk, Kerala Parotta, Paratha, Kadala Curry","Biryani, Kerala, Seafood, South Indian",800,Delivery,Brigade Road
333,Bean Flickers,Yes,No,4.1/5,204,Ulsoor,Quick Bites,"Coffee, Roti, Vada Pav","South Indian, North Indian, Chinese, Juices",250,Delivery,Brigade Road
334,7 Plates,Yes,No,4.1/5,1443,Frazer Town,Casual Dining,"Biryani, Haleem, Jumbo Shawarma, Kerala Parotta, Barbeque Chicken, Mutton Raan Biriyani, Dum Aloo","Arabian, North Indian, Chinese, Beverages",800,Delivery,Brigade Road
335,Munchies,Yes,No,3.8/5,101,Vasanth Nagar,Delivery,"Rolls, Veggie Wrap, Biryani, Paratha, Cheesy Chicken Wrap","North Indian, Biryani, Fast Food",500,Delivery,Brigade Road
336,Kobe Sizzlers,Yes,No,3.7/5,89,Frazer Town,Quick Bites,"Chicken Biryani, Lemon Chicken Roll","Mughlai, North Indian, Chinese",400,Delivery,Brigade Road
337,Caf???????????????????????????????? Mor'ish,Yes,No,4.1/5,1125,Domlur,Delivery,"Phirni, Chicken Roll, Hyderabadi Biryani, Mutton Biryani, Lucknowi Biryani, Galauti Kebab, Gulab Jamun","Biryani, Kebab, Rolls, Mughlai",650,Delivery,Brigade Road
338,Airlines Hotel,Yes,Yes,3.1/5,58,St. Marks Road,Quick Bites,Biryani,"Biryani, Chinese, Fast Food, North Indian",400,Delivery,Brigade Road
339,Pai Vihar,Yes,No,4.3/5,146,Ulsoor,Casual Dining,"Butter Chicken Biryani, Gulab Jamun, Chicken Tikka Biryani, Dal Bukhara, Hara Bhara Kebab, Mutton Keema, Masala Biryani","Biryani, North Indian, Kebab",650,Delivery,Brigade Road
340,Crunch Pizzas,Yes,No,3.9/5,67,Church Street,"Beverage Shop, Cafe","Chai, Ginger Tea, Poha, Coffee, Bun Maskas","Cafe, Tea, North Indian",500,Delivery,Brigade Road
341,Sri Udupi Park,Yes,No,4.0/5,47,Richmond Road,Dessert Parlor,"Donut, Coffee","Desserts, Beverages",300,Delivery,Brigade Road
342,Chantilly,Yes,No,3.9/5,189,Indiranagar,Delivery,"Chicken Salad, Chicken Grill, Salads, Palak Chicken, Chicken Sandwich","Healthy Food, Beverages",600,Delivery,Brigade Road
343,Cafe Terra,Yes,No,4.4/5,215,Brigade Road,Food Court,"Belgian Waffles, Hot Chocolate, Salted Caramel, Nutella Waffle","Desserts, Beverages",450,Delivery,Brigade Road
344,Cream Stone,Yes,No,4.0/5,175,Ulsoor,Casual Dining,"Chicken Biryani, Vegetable Biryani, Raita","Biryani, Kebab",750,Delivery,Brigade Road
345,Step Right Up,Yes,No,NEW,0,Indiranagar,Delivery,"Raita, Chicken Biryani",Biryani,400,Delivery,Brigade Road
346,Zaks Mediterranean Cuisine,Yes,No,3.9/5,107,Lavelle Road,Quick Bites,"Salad, Salads, Sandwiches","Salad, Fast Food",600,Delivery,Brigade Road
347,The Chariot,Yes,No,2.8/5,109,Shanti Nagar,Casual Dining,"Thukpa, Hakka Noodles","Chinese, Tibetan",500,Delivery,Brigade Road
348,The J,Yes,No,4.2/5,444,Indiranagar,Casual Dining,"Thali, Misal Pav, Pandhra Rassa, Roti, Chicken Kolhapuri, Tamda Rassa, Kadhi","Seafood, Maharashtrian",700,Delivery,Brigade Road
349,ZOROY Luxury Chocolate,Yes,Yes,4.3/5,2040,MG Road,Casual Dining,"Spaghetti, Beef Steak, Bbq Chicken Pizza, Burgers, Apple Pie, Ice Tea, Salads","Steak, Italian, Continental, American, Burger, BBQ, Salad","1,500",Delivery,Brigade Road
350,Kanteen 038,Yes,No,3.7/5,123,Brigade Road,"Food Court, Quick Bites","Burgers, Chocolate Momos, Noodles, Cheese Momos","Chinese, Momos",400,Delivery,Brigade Road
351,Le Rock,Yes,No,4.0/5,568,Indiranagar,"Beverage Shop, Dessert Parlor","Thick Shakes, Choco Chip Shake, Choco Hazelnut, Chocolate Hazelnut Shake, Oreo Shake, Kit Kat Shake, Butterscotch Shake","Desserts, Beverages, Ice Cream",400,Delivery,Brigade Road
352,Hotel Chandrika,Yes,No,4.2/5,172,Commercial Street,Casual Dining,"Momos, Thukpa, Noodles, Nepali Thali, Chicken Momo, Chilli Momo","Nepalese, Tibetan, Momos",800,Delivery,Brigade Road
353,Cafe Braqa,Yes,No,3.7/5,42,Race Course Road,Casual Dining,"Thali, Chicken Biryani","Chinese, South Indian, North Indian",900,Delivery,Brigade Road
354,BLOW,Yes,No,4.0/5,787,Richmond Road,Quick Bites,"Rolls, Shawarma, Beef Roll, Chicken Shawarama, Beef Shwarma, Haleem, Chicken Roll","Arabian, Biryani, Rolls, Kebab",400,Delivery,Brigade Road
355,Cobaja,Yes,No,3.9/5,238,Indiranagar,Casual Dining,"Ghee Rice, Chicken Grill, Butter Chicken, Chicken Tikka Masala, Chicken Curry, Roti, Chicken Kebab","North Indian, Chinese, Biryani, Kebab, Juices",800,Delivery,Brigade Road
356,Brownie Heaven,Yes,No,4.1/5,54,Residency Road,Casual Dining,"Curd Rice, Biryani","Healthy Food, North Indian, South Indian",400,Delivery,Brigade Road
357,The Grill House,Yes,Yes,3.9/5,54,Indiranagar,Quick Bites,"Peri Peri Chicken, Shawarma, Biryani, Rolls","Biryani, North Indian, Arabian",350,Delivery,Brigade Road
358,Mountain Spice,Yes,No,4.3/5,116,St. Marks Road,Dessert Parlor,"Waffles, Liege Waffle, Ice Cream Sandwiches, Salted Caramel Ice Cream, Ice Cream Sandwich","Desserts, Ice Cream",400,Delivery,Brigade Road
359,Kumbakonam Degree Coffee,Yes,No,3.9/5,306,Frazer Town,Casual Dining,"Momos, Noodles, Chilli Chicken, Spring Roll, Clear Chicken Soup, Crispy Noodle, Mixed Fried Rice","Chinese, Thai, Momos",500,Delivery,Brigade Road
360,C Sharp Kitchen,Yes,No,4.1/5,125,MG Road,"Casual Dining, Cafe","Waffles, Sandwiches, Nachos, Burgers, Chicken Keema Pizza, Penne Pasta, Smoothie Bowl","Continental, Cafe, Desserts, Pizza, North Indian, Chinese, Ice Cream",900,Delivery,Brigade Road
361,Nossa Goa,Yes,Yes,4.1/5,612,Cunningham Road,Casual Dining,"Pasta, Bamboo Biryani, Noodles, Chicken Guntur, Andhra Meal, Andhra Style Biryani, Babycorn Manchurian","Andhra, Biryani, Chinese, North Indian, Seafood, South Indian","1,100",Delivery,Brigade Road
362,Ujwal Restaurant,Yes,No,3.9/5,100,Brigade Road,"Sweet Shop, Quick Bites","Chaat, Sandwiches, Rasmalai","Mithai, Street Food",400,Delivery,Brigade Road
363,GMT - Gelateria Montecatini Terme,Yes,No,3.9/5,847,Frazer Town,Casual Dining,"Mutton Biryani, Shawarma, Bheja Fry, Pahari Chicken, Mutton Chops, Butter Chicken, Butter Naan","Mughlai, North Indian, Chinese",700,Delivery,Brigade Road
364,The Souk,Yes,No,4.2/5,432,Ulsoor,"Cafe, Bakery","Coffee, Cheesecake, Chicken Baguette, Pasta, Mudcake, Wedges, Hot Chocolate","Cafe, Mediterranean, Bakery, Greek, Beverages",700,Delivery,Brigade Road
365,Cafe Imroze,Yes,No,4.3/5,570,Ulsoor,Cafe,"Chocolate Overload, Burgers, Pasta, Peri Peri Chicken Pizza, Peri Peri Chicken Burger, Momos, Freak Shake","Cafe, Continental, Italian, Burger, Beverages",700,Delivery,Brigade Road
366,Tea Journey,Yes,Yes,4.0/5,1021,Brigade Road,Casual Dining,"Palak Paneer, Mango Lassi, Panner Tikka, Veg Platter, Dal Makhani, Chicken Rara, Malai Tikka","North Indian, Mughlai",700,Delivery,Brigade Road
367,Ging - Royal Orchid Central,Yes,No,3.9/5,148,Frazer Town,Dessert Parlor,"Rolls, Ice Cream Roll","Ice Cream, Desserts",500,Delivery,Brigade Road
368,Driven Cafe,Yes,No,3.5/5,64,MG Road,Takeaway,"Pasta, Fruit Parfait","Healthy Food, Sandwich",300,Delivery,Brigade Road
369,Coastal Delight,Yes,No,4.0/5,85,Residency Road,"Dessert Parlor, Quick Bites","Waffles, Pie, Corn Dog","Cafe, Fast Food, Desserts, Beverages",400,Delivery,Brigade Road
370,Gelato Italiano,Yes,No,4.2/5,93,Brigade Road,Quick Bites,"Filter Coffee, Kesari Bath, Curd Rice, Idli Vada, Crispy Masala Dosa, Masala Tea, Thick Coconut Chutney","South Indian, Chinese",300,Delivery,Brigade Road
371,OCEA HOTEL,Yes,No,3.8/5,62,St. Marks Road,Casual Dining,"Panner Tikka, Coffee, Vada, Idli","South Indian, North Indian, Chinese",400,Delivery,Brigade Road
372,Troll,Yes,No,3.8/5,83,Indiranagar,"Dessert Parlor, Beverage Shop","Lassi, Faluda","Beverages, Juices, Ice Cream",100,Delivery,Brigade Road
373,Cafe Cerrise,Yes,No,4.1/5,569,Indiranagar,Quick Bites,"Rolls, Egg Roll, Chai, Ginger Tea, Biryani, Rasgulla, Luchi","Fast Food, Bengali, Rolls",400,Delivery,Brigade Road
374,Mamma Mexicana,Yes,No,3.9/5,113,Shanti Nagar,Quick Bites,"Rolls, Burgers, Sandwiches, Nachos, Sweet Lassi, Fries, Methi Paratha","Fast Food, North Indian, Rolls",250,Delivery,Brigade Road
375,Gobble Up Churros Cafe,Yes,No,4.0/5,78,Commercial Street,"Quick Bites, Beverage Shop","Sandwiches, Rose Faluda, Pizza, Custard Apple Cream, Pav Bhaji","Fast Food, Pizza, Rolls, Beverages, Juices",350,Delivery,Brigade Road
376,Red Onion,Yes,No,3.9/5,117,MG Road,Quick Bites,"Pizza, Garlic Bread","Pizza, Fast Food",800,Delivery,Brigade Road
377,Aagaman Veg,Yes,No,4.3/5,422,Indiranagar,"Dessert Parlor, Cafe","Gelato, Strawberry Sundae, Hot Chocolate, Brownie, Wedges, Peri Peri Fries, Thick Shakes","Desserts, Cafe",400,Delivery,Brigade Road
378,Mainland China,Yes,No,2.8/5,296,Commercial Street,Casual Dining,"Mutton Biryani, Brinjal Curry, Chicken Biryani, Kheer, Hyderabadi Biryani, Raita, Kebab Platter",Biryani,600,Delivery,Brigade Road
379,Urban Solace - Caf???????????????????????????????? for the Soul,Yes,No,4.2/5,127,Brigade Road,Casual Dining,"Tom Yum Soup, Fish, Salad",Thai,700,Delivery,Brigade Road
380,The Rice Bowl,Yes,No,3.7/5,270,Indiranagar,Delivery,"Salads, Pasta, Dal Makhani, Paratha, Chole, Red Velvet Cake, Butter Chicken","North Indian, Continental",500,Delivery,Brigade Road
381,Shezan,Yes,No,3.9/5,241,Basavanagudi,Cafe,"Fries, Oreo Shake, Pasta Arrabiata",Cafe,700,Delivery,Brigade Road
382,Oye Amritsar,Yes,No,4.3/5,7544,Church Street,Lounge,"Paneer Biryani, Cocktails, Mocktails, Nachos, Taco Soup, Pork Ribs, Hot Dog","American, North Indian, Chinese, Finger Food, Momos","1,500",Delivery,Brigade Road
383,Tandoor,Yes,No,3.9/5,148,Brigade Road,Food Court,Donut,"Bakery, Desserts, Beverages",450,Delivery,Brigade Road
384,Feast India Co.,Yes,No,4.1/5,68,Frazer Town,Casual Dining,"Naan, Mutton Kebab, Memon Mutton Biryani, Mutton Keema",North Indian,700,Delivery,Brigade Road
385,Bangalore Mandarin,Yes,No,3.8/5,110,Ulsoor,Quick Bites,"Rolls, Whole Meat Shawarma",Arabian,300,Delivery,Brigade Road
386,Mahesh Lunch Home,Yes,No,4.0/5,71,Indiranagar,Dessert Parlor,"Waffles, Pancakes",Desserts,400,Delivery,Brigade Road
387,Bheema's,Yes,No,4.2/5,255,Vasanth Nagar,Cafe,"Peri Peri Chicken, Shikanji, Peri Peri Pizza, Burgers, Steak, Bun Maskas, Pasta","Cafe, Continental, Fast Food",500,Delivery,Brigade Road
388,Chung Wah,Yes,No,3.7/5,129,Indiranagar,Quick Bites,"Vada, Masala Dosa, Filter Coffee","South Indian, North Indian, Chinese",40,Delivery,Brigade Road
389,Danny Lambas Punjabi Dhaba,Yes,No,4.2/5,131,Brigade Road,Dessert Parlor,"Apple Pie, Mascarpone Cheese, Nolen Gurer Ice Cream, Paan Ice Cream, Nolen Gur, Gur Ice Cream, Salted Caramel","Ice Cream, Desserts",180,Delivery,Brigade Road
390,Chung's Chinese Corner,Yes,No,4.0/5,289,Indiranagar,Dessert Parlor,"Icecream Cake, Almond Crunch, Cream Cake, Belgian Chocoholic",Desserts,300,Delivery,Brigade Road
391,Teppan Japanese Grill & Sushi Bar,Yes,No,3.9/5,61,Shanti Nagar,Beverage Shop,"Fruit Lassi, Sweet Lassi, Kulfi, Banana Split","Beverages, Desserts",150,Delivery,Brigade Road
392,Anupam's Coast II Coast,Yes,No,4.2/5,1764,St. Marks Road,Casual Dining,"Omelette, French Toast, Bun Masala, Pasta, Egg Pav Bhaji, Fajitas, Paneer Wrap","Continental, American",750,Delivery,Brigade Road
393,Kudla - Hotel Ramanashree,Yes,No,3.9/5,454,Residency Road,Quick Bites,"Hariyali Chicken, Rice Kheer, Chicken Kebab, Chicken Biryani, Firewood Biryani, Mutton Biryani, Badam Phirni","Biryani, Kebab, Rolls",400,Delivery,Brigade Road
394,Ebony,Yes,No,3.0/5,144,Domlur,Quick Bites,Dum Biryani,"Biryani, Chinese",200,Delivery,Brigade Road
395,Fujan,Yes,No,4.3/5,652,Cunningham Road,"Cafe, Dessert Parlor","Cappuccino, Eclair, Pizza, Coffee, Blueberry Cheesecake, Oreo Cheesecake, Tiramisu","Cafe, Desserts",750,Delivery,Brigade Road
396,Raaga,Yes,No,4.1/5,110,Indiranagar,"Quick Bites, Sweet Shop","Chaat, Panipuri, Chole Bhature, Rasmalai, Chhole Bhature, Sev Puri, Samosa","Mithai, Street Food",150,Delivery,Brigade Road
397,Lazio Steaks & More,Yes,Yes,3.9/5,96,Brigade Road,"Casual Dining, Bar","Balti Gosht, Cocktails, Dal Makhani","Mughlai, North Indian, Desserts","1,300",Delivery,Brigade Road
398,ASEAN - On The Edge,Yes,No,4.1/5,41,Church Street,Dessert Parlor,Nutella Pancakes,"Desserts, Ice Cream",150,Delivery,Brigade Road
399,Benjarong,Yes,No,3.9/5,205,St. Marks Road,Casual Dining,"Rolls, Biryani, Chilli Chicken, Seekh Kebab, Rumali Roti, Burgers, Butter Naan","North Indian, Chinese, Fast Food",500,Delivery,Brigade Road
400,Ente Keralam,Yes,No,4.0/5,113,MG Road,Casual Dining,"Pasta, Salads, Sandwich, Coffee, Tea, Sandwiches","Italian, Bakery, Fast Food","1,000",Delivery,Brigade Road
401,In Wok,Yes,No,3.9/5,450,Frazer Town,Casual Dining,"Biryani, Irani Chai, Tea, Lemonade, Mezze Platter, Shawarma, Plain Rice","Arabian, Middle Eastern",700,Delivery,Brigade Road
402,The Oriental Spice - Ashraya Hotel,Yes,Yes,4.3/5,858,Cunningham Road,"Casual Dining, Cafe","Tea, Momos, Tiramisu, Sandwiches, Pesto Pasta, Sandwich, Chips","Continental, Cafe, Desserts, Salad, Momos","1,000",Delivery,Brigade Road
403,Aromas Of South,Yes,No,4.2/5,231,Lavelle Road,"Bakery, Dessert Parlor","Macaroon, Fruit Tart, Opera Cake, Belgian Dark Chocolate, Orange Tart, Eclair, Chocolate Mousse","Bakery, French, Desserts",300,Delivery,Brigade Road
404,Parika Multicuisine Restaurant,Yes,No,4.4/5,319,Church Street,Casual Dining,"Lassi, Paratha, Chicken Tikka, Mutton Pulao, Dal Makhani, Garlic Naan, Kheer","North Indian, Mughlai",800,Delivery,Brigade Road
405,Peppa Zzing,Yes,No,3.9/5,224,Church Street,Casual Dining,"Roti, Naan, Butter Chicken, Biryani, Saffron Rice, Mutton Kebab, Lassi","North Indian, Iranian",950,Delivery,Brigade Road
406,Zodiac - Fortune Select JP Cosmos Hotel,Yes,No,3.8/5,59,Commercial Street,Sweet Shop,"Dhokla, Raj Kachori, Rabri","Fast Food, Mithai",300,Delivery,Brigade Road
407,Cafe Mangii,Yes,No,3.3/5,65,Brigade Road,Cafe,Cappuccino,"Cafe, Fast Food",900,Delivery,Brigade Road
408,Glen's Bakehouse,Yes,No,3.9/5,206,Brigade Road,Casual Dining,"Pizza, Pasta, Mozzarella Sticks, Mocktails, Tiramisu, Fries, Salad","Pizza, Italian, Continental, Desserts",800,Delivery,Brigade Road
409,NoLimmits Lounge and Club,Yes,No,3.9/5,87,Ulsoor,Casual Dining,"Handi Biryani, Sandwich","North Indian, Chinese, Fast Food, Street Food",500,Delivery,Brigade Road
410,Kitchen On Table,Yes,Yes,4.2/5,980,Ulsoor,"Casual Dining, Bar","Sea Food, Spicy Crab Soup, Cocktails, Squid Fry, Prawn Curry, Lobster, Fish Curry","Goan, Mangalorean, Pizza","1,000",Delivery,Brigade Road
411,Laughing Llama Gastropub,Yes,No,3.7/5,184,Brigade Road,Quick Bites,"Burgers, Mc Spicy Chicken, Chicken Burger, Maharaja Mac","Burger, Fast Food",500,Delivery,Brigade Road
412,Chutney Chang,Yes,No,4.1/5,159,St. Marks Road,Quick Bites,"Paratha, Paneer Pakora, Chole Bhature, Rajma Chawal, Chaach, Lassi, Buttermilk","North Indian, Street Food",300,Delivery,Brigade Road
413,The Open Box,Yes,No,3.4/5,334,Indiranagar,Casual Dining,"Biryani, Multi Grain Dosa, Kheer, Egg Bhurji, Sooji Halwa, Tamarind Chicken, Coffee","Andhra, South Indian, North Indian",550,Delivery,Brigade Road
414,Naachiyar's,Yes,No,3.5/5,73,Lavelle Road,Kiosk,"Pizza, Pasta, Garlic Bread, Nachos","Pizza, Italian",600,Delivery,Brigade Road
415,Puran da Dhaba - The Pride Hotel,Yes,No,4.2/5,739,Cunningham Road,Cafe,"Sandwiches, Lemonade, Nachos, Mozzarella Sticks, Fries, Pasta, Pizza","Cafe, Continental, Italian, Burger",750,Delivery,Brigade Road
416,The Bundle Co.,Yes,No,4.1/5,183,Lavelle Road,Dessert Parlor,"Coffee, Sandwiches, Hot Chocolate, Tiramisu, Latte, Cup Cake, Brownie",Desserts,550,Delivery,Brigade Road
417,Chai Galli,Yes,No,4.3/5,94,Ulsoor,Casual Dining,"Sea Food, Murgh Ghee Roast, Fish Fry, Neer Dosa, Bread Pudding, Caramel Custard, Crab Soup","Mangalorean, Seafood",550,Delivery,Brigade Road
418,Mugs N Burgers,Yes,Yes,4.0/5,932,Church Street,"Casual Dining, Bar","Burgers, Mocktails, Pasta, Cocktails, Beef Steak, Lunch Buffet, Chicken Steak","American, Continental, Steak, Salad","1,000",Delivery,Brigade Road
419,Refresh,Yes,No,4.3/5,392,Indiranagar,Cafe,"Burgers, Coffee, Mutton Burger, Sandwiches, Hot Chocolate, Fries, Sandwich","Cafe, American, Fast Food, Coffee, Continental",700,Delivery,Brigade Road
420,Cafe Thulp,Yes,No,3.9/5,169,Frazer Town,Quick Bites,"Rolls, Biryani, Butter Chicken, Chicken Manchurian Roll","North Indian, Mughlai, Rolls, Fast Food",600,Delivery,Brigade Road
421,Oregano Soul Food,Yes,No,3.9/5,64,Brigade Road,"Quick Bites, Bakery","Burgers, Sandwiches, Momos, Chicken Seekh Roll, Sandwich","Fast Food, Bakery",250,Delivery,Brigade Road
422,The Chocolate Heaven,Yes,No,4.1/5,1117,Brigade Road,Casual Dining,"Potato Mash, Sizzler Brownie, Steak, Pasta, Caramel Custard, Spicy Chicken Sizzler, Spaghetti","American, Continental, Fast Food, Steak","1,500",Delivery,Brigade Road
423,Chai Mania,Yes,No,4.1/5,114,Richmond Road,Cafe,"Coffee, Pizza, Pasta, Burgers, Eggs Benedict, Brownie Fudge, Salad","BBQ, Continental, Burger, Wraps, Pizza, Cafe",700,Delivery,Brigade Road
424,Buddha Treats,Yes,No,4.0/5,867,Lavelle Road,Quick Bites,"Chole, Tea, Filter Coffee, Vada, Upma, Butter Masala Dosa, Idli","South Indian, North Indian, Street Food",400,Delivery,Brigade Road
425,Imperio Restaurant,Yes,No,2.8/5,54,Vasanth Nagar,Quick Bites,"Masala Dosa, Coffee","South Indian, Street Food, Chinese, Fast Food",400,Delivery,Brigade Road
426,BITEBOX,Yes,No,2.9/5,330,Domlur,Delivery,"Thin Crust Pizza, Pepperoni, Pie","Italian, Pizza",600,Delivery,Brigade Road
427,Tandoor Box,Yes,No,3.8/5,106,Residency Road,Quick Bites,"Vada, Idli, Kharabath, Noodles, Filter Coffee","South Indian, Chinese",200,Delivery,Brigade Road
428,Eatzgreen,Yes,No,4.1/5,115,Indiranagar,"Cafe, Bakery","Cheesecake, Sandwiches, Tiramisu, Coffee, Hot Chocolate, Red Velvet Cake, Brownie","Cafe, Bakery",450,Delivery,Brigade Road
429,Biryani Day,Yes,No,4.2/5,391,Indiranagar,Cafe,"English Breakfast, Waffles, Chicken Lasagne, Pasta, Watermelon Juice, Momos, Thukpa","Cafe, Continental, Fast Food",500,Delivery,Brigade Road
430,MealsTree,Yes,No,4.0/5,78,Frazer Town,Dessert Parlor,"Nutella Brownie, Ferrero Rocher","Desserts, Beverages",500,Delivery,Brigade Road
431,Treatley,Yes,No,4.1/5,152,Vasanth Nagar,Cafe,"Burgers, Peri Peri Fries, Exotic Pizza, Sandwiches, Veggie Pizza, White Sauce Pasta, French Fries","Cafe, Italian",300,Delivery,Brigade Road
432,Game Of Tandoors,Yes,No,3.9/5,256,Frazer Town,Casual Dining,"Biryani, Shawarma, Kunafa, Pita Bread, Fattoush Salad","Mediterranean, Arabian, Lebanese, Rolls",700,Delivery,Brigade Road
433,Food Zone,Yes,No,2.9/5,50,Brigade Road,Quick Bites,"Masala Dosa, Panneer Butter Masala, Thali","South Indian, North Indian, Chinese",350,Delivery,Brigade Road
434,Udupi Grand Veg,Yes,No,4.0/5,134,Church Street,Quick Bites,"Fried Cheese, French Fries, Maggi, Thick Shakes, Chilli Cheese Fries, Tea","Fast Food, Beverages",450,Delivery,Brigade Road
435,Village Restaurant,Yes,No,4.0/5,68,Church Street,Dessert Parlor,Hot Chocolate,Desserts,250,Delivery,Brigade Road
436,The Bahubali,Yes,No,3.9/5,51,Indiranagar,Quick Bites,"Chai, Maggi, English Breakfast","Tea, Beverages, Fast Food",200,Delivery,Brigade Road
437,Food Mood,Yes,No,3.9/5,184,Shanti Nagar,Casual Dining,"Coffee, Roti, Pongal, Idli, Ghee Masala Dosa, Thali, Chaat","South Indian, Fast Food, Street Food",400,Delivery,Brigade Road
438,Dock Frost'd,Yes,No,4.0/5,1203,Brigade Road,"Bar, Quick Bites","Cocktails, Pizza, Murgh Platter, Draught Beer, Chicken Wings, Veg Platter, Fries","Continental, Chinese","2,000",Delivery,Brigade Road
439,Kerala Tiffin,Yes,No,3.8/5,208,Cunningham Road,Casual Dining,"Thali, Filter Coffee, Vada, Rava Idli, Masala Dosa, Stuffed Kulcha, Naan","South Indian, North Indian, Chinese, Street Food",400,Delivery,Brigade Road
440,Eat Eroo - Bombay Vada Pav,Yes,Yes,4.0/5,144,Indiranagar,Cafe,"Ginger Tea, Cup Cake, Sandwich, Pasta, Cappuccino, Pizza, Cheese Sticks","Cafe, Italian, Continental, Beverages",700,Delivery,Brigade Road
441,Damodar Seth,Yes,Yes,4.2/5,937,Church Street,Cafe,"Mocktails, Pasta, Burgers, Sandwich, Salsa, Salad, Hazelnut Frappe","Cafe, Continental, American, Burger",750,Delivery,Brigade Road
442,Ande Ka Funda,Yes,Yes,4.3/5,61,Brigade Road,Casual Dining,"Badam Milk, Cocktails, Mutton Liver Fry, Paan Mojito, Veg Thali, Mocktails, Neer Dosa","Seafood, South Indian, Bar Food, Mangalorean, Konkan",700,Delivery,Brigade Road
443,Orbis Restaurant,Yes,No,4.2/5,33,Cunningham Road,Dessert Parlor,"Filter Coffee, Triple Chocolate, Brownie Chocolate, Vanilla Ice Cream, Brownie Shake, Tiramisu, Chocolate Shake","Desserts, Fast Food",300,Delivery,Brigade Road
444,The Waffcake Legacy,Yes,Yes,4.1/5,765,Ulsoor,"Casual Dining, Bar","Steak, Burgers, Cocktails, Beer, Buffalo Wings, Pasta, Chicken Stroganoff","American, Mexican, Italian, Steak","1,200",Delivery,Brigade Road
445,Imperia Restaurant,Yes,No,3.9/5,186,Koramangala 8th Block,Quick Bites,"Momos, Chicken Lollipop, Chicken Momo, Noodles, Chicken Thukpa","Chinese, Nepalese, Tibetan, Momos",400,Delivery,Brigade Road
446,Kaati Zone,Yes,No,3.8/5,66,Indiranagar,Quick Bites,"Filter Coffee, Mini Idlis","South Indian, Fast Food",200,Delivery,Brigade Road
447,Chatora,Yes,No,3.4/5,50,Church Street,Casual Dining,"Paratha, Tea, Pasta, Omelette, Rolls, Sandwich","North Indian, Chinese, European",600,Delivery,Brigade Road
448,Foodism,Yes,Yes,4.1/5,294,Richmond Road,Casual Dining,"Breakfast Platter, Roast Chicken, Sea Food, Calamari, Waffles, Chorizo Pav, Prawn Curry","Goan, Seafood, Konkan, Desserts","1,000",Delivery,Brigade Road
449,HOMMS,Yes,No,3.9/5,134,Vasanth Nagar,Casual Dining,"Tender Coconut Chicken, Sea Food, Paneer Pakora, Chicken Biryani, Kori Roti, Fish Fry, Beer","Seafood, North Indian, Chinese",550,Delivery,Brigade Road
450,Artinci Artisanal Ice Cream,Yes,No,4.4/5,69,Lavelle Road,Quick Bites,"Irish Coffee, Gelato Ice Cream, Italian Icecream, Chocolate Cake","Desserts, Ice Cream",300,Delivery,Brigade Road
451,M.M.A. Kabab's & Biriyani Center,Yes,No,3.7/5,66,Ulsoor,Cafe,"Mediterranean Platter, Brownie, Pasta, Burgers, Cheesy Garlic Bread, Steak","Cafe, Mediterranean, Italian, Pizza, Continental",800,Delivery,Brigade Road
452,Samosa Singh,Yes,No,3.6/5,95,Infantry Road,"Cafe, Casual Dining","Pasta, Burgers, Fries, Bbq Chicken Pizza, Peri Peri Chicken Pizza, Bbq Burger, Nachos","Cafe, Burger, Italian, Fast Food",650,Delivery,Brigade Road
453,Maria Taste Circle,Yes,No,3.8/5,71,Indiranagar,Cafe,"Ginger Tea, Chai, Pasta, Maggi, Vada Pav, Pizza, Sandwich",Cafe,500,Delivery,Brigade Road
454,Chatpatlal Sweets & Snacks,Yes,Yes,4.3/5,225,MG Road,"Bar, Casual Dining","Paneer Satay, Beer, Creme Brulee, Crispy Prawns",Asian,"2,000",Delivery,Brigade Road
455,Paradise,Yes,No,3.4/5,122,Residency Road,Cafe,"Coffee, Fries, Cappuccino, Margherita Pizza","Cafe, Beverages, Fast Food",600,Delivery,Brigade Road
